Filename:  mashroom.txt
Min Support:  3000
closed itemset - support
('116|90|34|86|85', 3104)
('116|34|86|85', 3130)
('116|86|85', 3148)
('6|90|85', 3020)
('6|34|86|85', 3096)
('6|34|85', 3098)
('6|86|85', 3102)
('6|85', 3152)
('10|36|90|34|86|85', 3016)
('10|36|34|86|85', 3190)
('10|36|86|85', 3208)
('10|90|34|85|86', 3044)
('10|90|34|85', 3052)
('10|34|86|85', 3218)
('10|34|85', 3226)
('10|86|85', 3236)
('10|85', 3244)
('23|93|59|34|86|85', 3040)
('23|93|36|34|86|85', 3080)
('23|93|90|34|86|85', 3080)
('23|93|34|86|85', 3184)
('23|63|34|86|85', 3040)
('23|59|36|34|86|85', 3128)
('23|59|34|86|85', 3232)
('23|39|36|34|86|85', 3016)
('23|36|34|86|85', 3272)
('23|34|86|85', 3376)
('52|36|85', 3068)
('52|34|86|85', 3298)
('52|34|85', 3306)
('52|86|85', 3316)
('52|85', 3516)
('28|2|39|34|86', 3024)
('28|2|39|85', 3216)
('28|2|34|86', 3216)
('28|2|85', 3408)
('28|39|34|86', 3096)
('28|39|85', 3288)
('28|34|86|85', 3328)
('28|34|85', 3336)
('28|85', 3528)
('3|36|85', 3016)
('3|90|34|86', 3416)
('3|90|85', 3464)
('3|34|86|85', 3602)
('3|86|85', 3608)
('3|85', 3656)
('56|39|36|34|86|85|90', 3312)
('56|39|36|34|86|85', 3432)
('56|36|90|34|86|85', 3408)
('56|36|34|86|85', 3528)
('56|90|34|86|85', 3656)
('56|34|86|85', 3776)
('1|24|36|90|34|86|85', 3152)
('1|24|36|34|86|85', 3170)
('1|24|36|86|85', 3188)
('1|24|90|34|85|86', 3248)
('1|24|90|34|85', 3256)
('1|24|34|86|85', 3266)
('1|24|34|85', 3274)
('1|24|86|85', 3284)
('1|24|85', 3292)
('1|36|90|34|86|85', 3695)
('1|36|34|86|85', 3785)
('1|36|86|85', 3803)
('1|90|34|85|86', 3799)
('1|90|34|85', 3807)
('1|34|86|85', 3889)
('1|34|85', 3897)
('1|86|85', 3907)
('1|85', 3915)
('93|2|85', 3152)
('93|63|59|36|85', 3056)
('93|63|59|90|85', 3152)
('93|63|59|34|86', 3136)
('93|63|59|85', 3328)
('93|63|36|90|85', 3024)
('93|63|36|85', 3128)
('93|63|90|34|86', 3032)
('93|63|90|85', 3224)
('93|63|34|86', 3280)
('93|63|85', 3472)
('93|59|39|85', 3016)
('93|59|36|90|34|86', 3024)
('93|59|36|90|85', 3216)
('93|59|36|34|86', 3128)
('93|59|36|85', 3320)
('93|59|90|34|86', 3224)
('93|59|90|85', 3416)
('93|59|34|86', 3472)
('93|59|85', 3664)
('93|39|36|85', 3032)
('93|39|34|86', 3128)
('93|39|85', 3320)
('93|36|90|34|86', 3168)
('93|36|90|85', 3360)
('93|36|34|86', 3288)
('93|36|85', 3480)
('93|90|34|86', 3368)
('93|90|85', 3560)
('93|34|86', 3776)
('93|85', 3968)
('110|36|90|34|86', 3664)
('110|36|90|85', 3760)
('110|36|34|86', 3752)
('110|36|85', 3848)
('110|90|34|86', 3856)
('110|90|85', 3952)
('110|34|86', 3944)
('110|85', 4040)
('2|63|59|85', 3124)
('2|63|39|85', 3184)
('2|63|90|85', 3032)
('2|63|34|86', 3208)
('2|63|85', 3400)
('2|59|39|90|85', 3008)
('2|59|39|34|86', 3184)
('2|59|39|85', 3376)
('2|59|90|34|86', 3080)
('2|59|90|85', 3272)
('2|59|34|86', 3448)
('2|59|85', 3640)
('2|39|90|34|86', 3200)
('2|39|90|85', 3392)
('2|39|34|86', 3728)
('2|39|85', 3920)
('2|36|85', 3008)
('2|90|34|86', 3488)
('2|90|85', 3680)
('2|34|86', 4016)
('2|85', 4208)
('76|67|90|34|86|85', 3080)
('76|67|34|86|85', 3520)
('76|63|34|86|85', 3040)
('76|59|34|86|85', 3280)
('76|36|34|86|85', 3128)
('76|90|34|86|85', 3896)
('76|34|86|85', 4384)
('67|63|34|86|85', 3064)
('67|59|34|86|85', 3304)
('67|36|34|86|85', 3160)
('67|90|34|86|85', 3976)
('67|34|86|85', 4464)
('53|63|90|34|86|85', 3216)
('53|59|90|34|86|85', 3216)
('53|36|90|34|86|85', 3744)
('53|90|34|86|85', 4608)
('24|36|90|34|86', 3296)
('24|36|90|85', 3488)
('24|36|34|86|85', 3330)
('24|36|86|85', 3348)
('24|36|85', 3540)
('24|90|34|86|85', 4208)
('24|90|34|85', 4216)
('24|90|85', 4408)
('24|34|86|85', 4530)
('24|34|85', 4538)
('24|86|85', 4548)
('24|85', 4748)
('63|59|39|85', 3064)
('63|59|36|90|34|86', 3192)
('63|59|36|90|85', 3384)
('63|59|36|34|86', 3488)
('63|59|36|85', 3680)
('63|59|90|34|86', 3596)
('63|59|90|85', 3788)
('63|59|34|86', 3964)
('63|59|85', 4156)
('63|39|34|86', 3208)
('63|39|85', 3400)
('63|36|90|34|86', 3696)
('63|36|90|85', 3888)
('63|36|34|86', 3992)
('63|36|85', 4184)
('63|90|34|86', 4304)
('63|90|85', 4496)
('63|34|86', 4744)
('63|85', 4936)
('59|39|36|85', 3064)
('59|39|90|85', 3152)
('59|39|34|86', 3400)
('59|39|85', 3592)
('59|36|90|34|86', 3936)
('59|36|90|85', 4128)
('59|36|34|86', 4232)
('59|36|85', 4424)
('59|90|34|86', 4544)
('59|90|85', 4736)
('59|34|86', 4984)
('59|85', 5176)
('39|36|90|34|86', 4016)
('39|36|90|85', 4208)
('39|36|34|86|85', 4346)
('39|36|86|85', 4364)
('39|36|85', 4556)
('39|90|34|86', 4784)
('39|90|85', 4976)
('39|34|86|85', 5402)
('39|86|85', 5420)
('39|85', 5612)
('36|90|34|86', 6272)
('36|90|85', 6464)
('36|34|86|85', 6602)
('36|86|85', 6620)
('36|85', 6812)
('90|34|86|85', 7288)
('90|34|85', 7296)
('90|85', 7488)
('34|86|85', 7906)
('34|85', 7914)
('86|85', 7924)
('85', 8124)
